Restaurant_Name,Restaurant_Web_Link,Review_Count,Price Range,Cuisines_offered_1,Cusines_offered_2,Review_1,Review_1_date,Review_2,Review_2_date,Category,Cuisines_offered_3,Cusines_offered_4,Cuisines_offered_5
La Meduse,https://www.tripadvisor.com/Restaurant_Review-g187147-d10622151-Reviews-La_Meduse-Paris_Ile_de_France.html,148 reviews,$$ - $$$,Vegetarian Friendly,Vegan Options,Best part of Paris,11/29/2017,So good,11/17/2017,,,,
Le Cappiello,https://www.tripadvisor.com/Restaurant_Review-g187147-d12082727-Reviews-Le_Cappiello-Paris_Ile_de_France.html,167 reviews,$$ - $$$,French,European,Absolutely Amazing!,12/2/2017,Perfect dinner,11/30/2017,Contemporary,Vegetarian Friendly,Vegan Options,Gluten Free Options
Les Apotres de Pigalle,https://www.tripadvisor.com/Restaurant_Review-g187147-d10514254-Reviews-Les_Apotres_de_Pigalle-Paris_Ile_de_France.html,"1,098 reviews",$$ - $$$,South American,European,Highlight meal of the trip,11/26/2017,Absolutely Perfect,11/25/2017,Brew Pub,Vegetarian Friendly,Vegan Options,Gluten Free Options
Il Etait Un Square,https://www.tripadvisor.com/Restaurant_Review-g187147-d6575305-Reviews-Il_Etait_Un_Square-Paris_Ile_de_France.html,"1,547 reviews",$$ - $$$,French,Steakhouse,Great Burgers,12/1/2017,10-Oct,11/30/2017,,Vegetarian Friendly,,
Le Bistrot d'Indochine,https://www.tripadvisor.com/Restaurant_Review-g187147-d3940718-Reviews-Le_Bistrot_d_Indochine-Paris_Ile_de_France.html,301 reviews,$$ - $$$,Asian,Vietnamese,Just fantastic!,10/31/2017,Good Vietnamese food with some smaller tab...,6/27/2017,,Vegetarian Friendly,Vegan Options,
Flesh Restaurant et Canal Saint Martin,https://www.tripadvisor.com/Restaurant_Review-g187147-d11880054-Reviews-Flesh_Restaurant_et_Canal_Saint_Martin-Paris_Ile_de_France.html,176 reviews,$$ - $$$,Barbecue,French,"Perfect Steak, Sides and Service",12/4/2017,YES Yes YES,11/26/2017,,Steakhouse,European,Gluten Free Options
L'Affineur' Affine,https://www.tripadvisor.com/Restaurant_Review-g187147-d3955273-Reviews-L_Affineur_Affine-Paris_Ile_de_France.html,738 reviews,$$ - $$$,French,European,AMAZING CHEESE!! Lovely people!!,11/27/2017,Amazing and delicious,11/22/2017,,Vegetarian Friendly,,
Le Bistrot d'Yves,https://www.tripadvisor.com/Restaurant_Review-g187147-d6665583-Reviews-Le_Bistrot_d_Yves-Paris_Ile_de_France.html,270 reviews,$$ - $$$,French,European,Popular neighborhood bistro,11/17/2017,Small bistrot off tourist areas - good qua...,10/29/2017,,Vegetarian Friendly,,
Bar Italia Brasserie,https://www.tripadvisor.com/Restaurant_Review-g187147-d3842915-Reviews-Bar_Italia_Brasserie-Paris_Ile_de_France.html,898 reviews,$$ - $$$,Italian,Vegetarian Friendly,Glad we found this hidden gem!!,12/1/2017,The Best Italian in Paris.... Fact!,11/30/2017,,Vegan Options,,
Sacree fleur,https://www.tripadvisor.com/Restaurant_Review-g187147-d6633751-Reviews-Sacree_fleur-Paris_Ile_de_France.html,"2,410 reviews",$$ - $$$,French,Steakhouse,"NOT TO BE MISSED,TOP QUALITY ALL ROUND,HAL...",12/1/2017,Wow,11/30/2017,,European,,
AlKaram,https://www.tripadvisor.com/Restaurant_Review-g187147-d785995-Reviews-AlKaram-Paris_Ile_de_France.html,528 reviews,$$ - $$$,Lebanese,Mediterranean,Best Lebanese food I have ever eaten,11/14/2017,Excellent choice for my birthday dinner,11/1/2017,,Middle Eastern,Vegetarian Friendly,Vegan Options
New Jawad Longchamp,https://www.tripadvisor.com/Restaurant_Review-g187147-d4451589-Reviews-New_Jawad_Longchamp-Paris_Ile_de_France.html,235 reviews,$$ - $$$,Indian,Pakistani,Awesome is the word!,12/3/2017,VERY SURPRISED!!!!,11/30/2017,,Vegetarian Friendly,Vegan Options,
Fromagerie Danard,https://www.tripadvisor.com/Restaurant_Review-g187147-d8772707-Reviews-Fromagerie_Danard-Paris_Ile_de_France.html,548 reviews,$$ - $$$,French,European,Dinner at Paris,11/30/2017,Great cheese wine,11/27/2017,Wine Bar,Vegetarian Friendly,,
Paris Picnic,https://www.tripadvisor.com/Restaurant_Review-g187147-d8443166-Reviews-Paris_Picnic-Paris_Ile_de_France.html,451 reviews,$$ - $$$,French,European,Perfect for a large group,10/4/2017,Paris Romanticism At Its Best,9/12/2017,,Street Food,Vegetarian Friendly,Gluten Free Options
Ristorante Lo Spaghettino,https://www.tripadvisor.com/Restaurant_Review-g187147-d4471524-Reviews-Ristorante_Lo_Spaghettino-Paris_Ile_de_France.html,449 reviews,$$ - $$$,Italian,Mediterranean,Very good,11/21/2017,Lovely Italian in Paris,11/5/2017,,European,Vegetarian Friendly,Vegan Options
La Bossue,https://www.tripadvisor.com/Restaurant_Review-g187147-d8799241-Reviews-La_Bossue-Paris_Ile_de_France.html,244 reviews,$$ - $$$,French,Cafe,Nice environment,11/28/2017,Good,11/21/2017,,European,Vegetarian Friendly,Vegan Options
L'Envie du jour,https://www.tripadvisor.com/Restaurant_Review-g187147-d5491344-Reviews-L_Envie_du_jour-Paris_Ile_de_France.html,359 reviews,$$ - $$$,French,European,Totally enjoyable meal,10/21/2017,So typically Parisian !,10/13/2017,,Vegetarian Friendly,Vegan Options,
Tous,https://www.tripadvisor.com/Restaurant_Review-g187147-d11317164-Reviews-Tous-Paris_Ile_de_France.html,243 reviews,$$ - $$$,French,European,Excellent dinner in excellent restaurant,12/2/2017,Absolutely wonderful!,11/26/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Pedzouille,https://www.tripadvisor.com/Restaurant_Review-g187147-d10201111-Reviews-Pedzouille-Paris_Ile_de_France.html,282 reviews,$$ - $$$,French,European,Great food / Original ambiance,11/23/2017,A good place to be,11/20/2017,,,,
Pop's,https://www.tripadvisor.com/Restaurant_Review-g187147-d12223381-Reviews-Pop_s-Paris_Ile_de_France.html,206 reviews,$$ - $$$,Italian,French,Pavilla,12/3/2017,A MUST when in Paris,11/24/2017,,Pizza,European,Vegetarian Friendly
La Trattoria Dell'isola,https://www.tripadvisor.com/Restaurant_Review-g187147-d8094953-Reviews-La_Trattoria_Dell_isola-Paris_Ile_de_France.html,447 reviews,$$ - $$$,Italian,Pizza,Nice place,10/30/2017,Excellent beautiful and all the other love...,10/26/2017,,Seafood,Vegetarian Friendly,
Seb'on,https://www.tripadvisor.com/Restaurant_Review-g187147-d6958622-Reviews-Seb_on-Paris_Ile_de_France.html,928 reviews,$$ - $$$,French,European,Dinner,12/1/2017,Simply magical,11/27/2017,,,,
La boite aux lettres,https://www.tripadvisor.com/Restaurant_Review-g187147-d4414548-Reviews-La_boite_aux_lettres-Paris_Ile_de_France.html,487 reviews,$$ - $$$,French,European,Excellent food and Personal Service,11/30/2017,Paris at its best 🇫🇷,11/23/2017,,Vegetarian Friendly,Vegan Options,
Chez Imogene,https://www.tripadvisor.com/Restaurant_Review-g187147-d816755-Reviews-Chez_Imogene-Paris_Ile_de_France.html,400 reviews,$$ - $$$,French,Vegetarian Friendly,Wonderful!,11/19/2017,Excellent and cozy restaurant!,10/13/2017,,Vegan Options,Gluten Free Options,
Pane olio e pomodoro,https://www.tripadvisor.com/Restaurant_Review-g187147-d8734304-Reviews-Pane_olio_e_pomodoro-Paris_Ile_de_France.html,295 reviews,$$ - $$$,Italian,Mediterranean,"delicious food,friendly and helpful staff",10/24/2017,"Just go, dont think",10/8/2017,,European,Vegetarian Friendly,Vegan Options
New York a Paris,https://www.tripadvisor.com/Restaurant_Review-g187147-d5849115-Reviews-New_York_a_Paris-Paris_Ile_de_France.html,461 reviews,$$ - $$$,French,American,Would defiantly recommend,11/26/2017,Perfect Birthday Dinner,11/20/2017,,European,Vegetarian Friendly,Gluten Free Options
Mancini,https://www.tripadvisor.com/Restaurant_Review-g187147-d4156647-Reviews-Mancini-Paris_Ile_de_France.html,493 reviews,$$ - $$$,Italian,Pizza,"Cute, small, Italian!",11/24/2017,Always the best,11/5/2017,,European,Vegetarian Friendly,
Invictus,https://www.tripadvisor.com/Restaurant_Review-g187147-d3899568-Reviews-Invictus-Paris_Ile_de_France.html,458 reviews,$$ - $$$,French,European,Delicious,12/2/2017,Quiet Quality on a Sunday evening,11/29/2017,,Vegetarian Friendly,Gluten Free Options,
La Vache et Le Cuisinier,https://www.tripadvisor.com/Restaurant_Review-g187147-d2313721-Reviews-La_Vache_et_Le_Cuisinier-Paris_Ile_de_France.html,751 reviews,$$ - $$$,French,European,My kind of French cooking,11/16/2017,Greate food,11/10/2017,,Vegetarian Friendly,,
Les Canailles,https://www.tripadvisor.com/Restaurant_Review-g187147-d2719266-Reviews-Les_Canailles-Paris_Ile_de_France.html,480 reviews,$$ - $$$,French,European,Fantastic place,11/17/2017,My fav french dans mon quartier,10/14/2017,,,,
le papacionu,https://www.tripadvisor.com/Restaurant_Review-g187147-d5532633-Reviews-Le_papacionu-Paris_Ile_de_France.html,419 reviews,$$ - $$$,Italian,Pizza,Very popular pizza restaurant,9/29/2017,Authentic affordable pizzas,8/5/2017,,Vegetarian Friendly,Vegan Options,
Mancora Cebicheria,https://www.tripadvisor.com/Restaurant_Review-g187147-d9767590-Reviews-Mancora_Cebicheria-Paris_Ile_de_France.html,316 reviews,$$ - $$$,Peruvian,Seafood,Excellent food,11/18/2017,Amazing kitchen ! Perfect Service !,11/11/2017,,South American,Vegetarian Friendly,Vegan Options
